timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-23 00:38:01,james martin vip channel m1,42505,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **GBPCHF** - PUT 🟥 - 15:42 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,GBPCHF,put,15:42
2026-01-23 00:43:03,james martin vip channel m1,42507,,No,,,
2026-01-23 00:58:11,james martin vip channel m1,42508,💎 Your Friends Are Not Making Money With Trading Yet? That Needs To Change Now! 📌 Send them this link and help them get started: https://bit.ly/Access-To-Vip,No,,,
2026-01-23 01:33:03,james martin vip channel m1,42509,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **GBPJPY** - PUT 🟥 - 16:37 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,GBPJPY,put,16:37
2026-01-23 01:39:01,james martin vip channel m1,42511,,No,,,
2026-01-23 01:54:30,james martin vip channel m1,42512,"📈 If You're Making Money With My Signals, Why Not Help Others Do The Same? 📌 Copy and send this link: https://bit.ly/Access-To-Vip",No,,,
2026-01-23 02:24:01,james martin vip channel m1,42513,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **USDCHF** - PUT 🟥 - 17:27 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,USDCHF,put,17:27
2026-01-23 02:28:02,james martin vip channel m1,42515,,No,,,
2026-01-23 02:44:12,james martin vip channel m1,42516,💎 Your Friends Are Not Making Money With Trading Yet? That Needs To Change Now! 📌 Send them this link and help them get started: https://bit.ly/Access-To-Vip,No,,,
2026-01-23 03:00:00,james martin vip channel m1,42517,🏆 **Partial Result - VIP Signals [22/01]**  ✅ Win on AUDCAD-OTC at 06:38 ✅ Win on USDCHF-OTC at 07:28 ✅ Win on CADCHF at 08:33 ✅ Win on GBPAUD at 09:45 ✅ Win on EURCHF at 10:33 ✅ Win on EURGBP at 11:34 ✅ Win on EURAUD at 12:33 ✅ Win on CADCHF at 13:39 ✅ Win on AUDJPY at 14:38 ✅ Win on GBPCHF at 15:43 ✅ Win on GBPJPY at 16:39 ✅ Win on USDCHF at 17:28  FINAL RESULT: 12x0 💰,No,,,
2026-01-23 03:11:01,james martin vip channel m1,42518,⏳ **Get Ready For The Next Session** ⏰ **Expiration: 1 Minute [M1]**  🔍 __Analyzing The Market...__ **STAY ALERT!** 👀 ➡️ [**Click Here**](https://bit.ly/RegistrationFree-PocketOption) To Keep The Broker Open And Not Miss Any Opportunities.  ⚠️ **IMPORTANT:** Verify Your Account On **Pocket Option** To Unlock **INSTANT WITHDRAWALS!** 🚀  ➡️ [**CLICK HERE**](https://telegra.ph/Verify-Your-Account-on-Pocket-Option-Easily-10-29) To Learn How To Verify Your Account And Secure Fast Withdrawals! 💸,No,,,
2026-01-23 03:11:42,james martin vip channel m1,42519,**Activate notifications so you don't miss any signals!** 🔔,No,,,
2026-01-23 03:29:01,james martin vip channel m1,42520,💰,No,,,
2026-01-23 03:32:02,james martin vip channel m1,42521,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **AUDCAD-OTC** - PUT 🟥 - 18:37 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,AUDCAD-OTC,put,18:37
2026-01-23 03:38:01,james martin vip channel m1,42523,,No,,,
2026-01-23 03:41:48,james martin vip channel m1,42524,**📱**** Live trading starts in 30 minutes Be part of the action — don’t just hear about the results later.****🎯**  ➡️ [**Register now to trade live**](https://bit.ly/Free-Registration-PocketOption) 📹 [**Click to join the stream**](http://youtube.com/@OBJamesMartin?sub_confirmation=1),No,,,
2026-01-23 03:42:59,james martin vip channel m1,42525,🔔,No,,,
2026-01-23 03:48:31,james martin vip channel m1,42526,"🔥 Many Traders Fail Not Because They Lose, But Because They Don't Manage Their Losses! Don't Make The Same Mistake.  ➡️ [**Click Here And Learn Risk Management**](https://telegra.ph/How-to-Perform-Risk-Management-Effectively-02-06)",No,,,
2026-01-23 03:59:01,james martin vip channel m1,42527,▶️,No,,,
2026-01-23 04:01:13,james martin vip channel m1,42528,"☄️** Attention, friends! I am live streaming on YouTube right now! You`re not gonna miss this chance! ** 🌐 To follow the live stream on YouTube: ➡️[ Click Here!](https://youtube.com/live/TUATKI1I3h0)",No,,,
2026-01-23 04:22:05,james martin vip channel m1,42529,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **EURUSD-OTC** - PUT 🟥 - 19:27 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,EURUSD-OTC,put,19:27
2026-01-23 04:29:02,james martin vip channel m1,42531,,No,,,
2026-01-23 04:46:45,james martin vip channel m1,42532,🎁 Start Trading With More Balance! Use This Exclusive Coupon And Get A 60% Bonus Now!  🎟 Promo Code: **BKI513**  ➡️ [**Click Here And Claim Your Bonus**](https://telegra.ph/How-to-Withdraw-and-Deposit-on-the-Brokerage-09-16),No,,,
2026-01-23 05:39:03,james martin vip channel m1,42533,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **AUDCAD-OTC** - PUT 🟥 - 20:42 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,AUDCAD-OTC,put,20:42
2026-01-23 05:44:02,james martin vip channel m1,42534,Perfect entry on **AUDCAD-OTC**! Strategy working flawlessly and positive result confirmed! 🔥,No,,,
2026-01-23 05:44:05,james martin vip channel m1,42535,,No,,,
