timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-22 03:00:07,lc trader,23909,"**1º SESSION OF THE DAY IS ABOUT TO START 💸🤑**  **⏰We’ll start in 60 minutes — set your alarms** ‼️  **Get $50,000 to test our trades**  👇👇👇 [📊CLICK HERE TO CREATE YOUR ACCOUNT](https://tinyurl.com/Lctraderpocket)  Don’t know how to copy the trades??  👇👇👇 [ 👨🏻‍🎓CLICK HERE TO WATCH THE MINI COURSE ](https://t.me/luctrader09/113)  ✅✅",No,,,
2026-01-22 03:30:07,lc trader,23910,**⏰ Set Your Alarms!**  🌐 TIME ZONES BY COUNTRY ⬇️ 🇬🇭 Starts at 04:00 AM - Ghana   🇳🇬 Starts at 05:00 AM - Nigeria   🇨🇲 Starts at 05:00 AM - Cameroon   🇿🇦 Starts at 06:00 AM - South Africa   🇪🇬 Starts at 06:00 AM - Egypt   🇵🇱 Starts at 06:00 AM - Poland   🇰🇪 Starts at 07:00 AM - Kenya   🇸🇴 Starts at 07:00 AM - Somalia   🇦🇪 Starts at 08:00 AM - United Arab Emirates   🇮🇳 Starts at 09:30 AM - India    **📌 We will send 5 HIGH-QUALITY signals!** **📢 Stay tuned and get ready! 🚀**,No,,,
2026-01-22 04:00:06,lc trader,23912,**We began our analyses folks 📊**  **TIME ZONE 👉 UTC -3 🌍**  Keep your broker open to not miss any opportunity👇  [📊CLICK HERE TO CREATE YOUR ACCOUNT](https://bit.ly/registerpockett),No,,,
2026-01-22 04:03:06,lc trader,23913,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation EURHUF_otc—04:05: CALL 🟢  ⏰ ENDS AT: 04:10  1º GALE - ENDS AT 04:15 2º GALE - ENDS AT 04:20  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,EURHUF_otc,call,04:05
2026-01-22 04:28:04,lc trader,23915,✅VICTORY 2º GALE,No,,,
2026-01-22 04:30:08,lc trader,23916,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation EURNZD_otc—04:35: PUT 🔴  ⏰ ENDS AT: 04:40  1º GALE - ENDS AT 04:45 2º GALE - ENDS AT 04:50  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,EURNZD_otc,put,04:35
2026-01-22 04:56:04,lc trader,23918,✅VICTORY 2º GALE,No,,,
2026-01-22 04:58:05,lc trader,23919,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation CHFJPY_otc—05:00: PUT 🔴  ⏰ ENDS AT: 05:05  1º GALE - ENDS AT 05:10 2º GALE - ENDS AT 05:15  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,CHFJPY_otc,put,05:00
2026-01-22 05:18:08,lc trader,23921,✅VICTORY 2º GALE,No,,,
2026-01-22 05:20:06,lc trader,23922,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation EURUSD—05:25: CALL 🟢  ⏰ ENDS AT: 05:30  1º GALE - ENDS AT 05:35 2º GALE - ENDS AT 05:40  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),No,,,
2026-01-22 14:46:04,lc trader,23923,❌LOSS,No,,,
2026-01-22 14:48:04,lc trader,23924,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation AUDJPY—05:50: PUT 🔴  ⏰ ENDS AT: 05:55  1º GALE - ENDS AT 06:00 2º GALE - ENDS AT 06:05  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),No,,,
2026-01-22 15:04:03,lc trader,23926,✅VICTORY 1º GALE,No,,,
2026-01-22 15:06:03,lc trader,23927,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDJPY_otc—06:10: CALL 🟢  ⏰ ENDS AT: 06:15  1º GALE - ENDS AT 06:20 2º GALE - ENDS AT 06:25  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,USDJPY_otc,call,06:10
2026-01-22 15:20:05,lc trader,23929,✅DIRECT VICTORY,No,,,
2026-01-22 15:22:04,lc trader,23930,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation CADJPY_otc—06:25: CALL 🟢  ⏰ ENDS AT: 06:30  1º GALE - ENDS AT 06:35 2º GALE - ENDS AT 06:40  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,CADJPY_otc,call,06:25
2026-01-22 15:41:04,lc trader,23932,✅DIRECT VICTORY,No,,,
2026-01-22 15:41:07,lc trader,23934,OPERATIONS REPORT(22/01)📊  SIGNAL 1 -> GAIN ✅ SIGNAL 2 -> GAIN ✅ SIGNAL 3 -> GAIN ✅ SIGNAL 4 -> LOSS ❌ SIGNAL 5 -> GAIN ✅ SIGNAL 6 -> GAIN ✅ SIGNAL 7 -> GAIN ✅  06 WIN ✅ 01 LOSS ❌,No,,,
2026-01-22 15:44:10,lc trader,23935,**END OF THE 1º SESSION 🚀🏆**,No,,,
2026-01-22 21:00:14,lc trader,23936,"**2º SESSION OF THE DAY IS ABOUT TO START 💸🤑**  **⏰We’ll start in 60 minutes — set your alarms** ‼️  **Get $50,000 to test our trades**  👇👇👇 [**📊CLICK HERE TO CREATE YOUR ACCOUNT**](https://bit.ly/registerpockett)  **Don’t know how to copy the trades??**  👇👇👇 [** 👨🏻‍🎓CLICK HERE TO WATCH THE MINI COURSE **](https://t.me/luctrader09/113)  ✅✅",No,,,
2026-01-22 22:00:10,lc trader,23938,**We began our analyses folks 📊**  **TIME ZONE 👉 UTC -3 🌍**  Keep your broker open to not miss any opportunity👇  [**📊CLICK HERE TO CREATE YOUR ACCOUNT**](https://bit.ly/registerpockett),No,,,
2026-01-22 22:03:05,lc trader,23939,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDCLP_otc—13:05: PUT 🔴  ⏰ ENDS AT: 13:10  1º GALE - ENDS AT 13:15 2º GALE - ENDS AT 13:20  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDCLP_otc,put,13:05
2026-01-22 22:21:04,lc trader,23941,✅VICTORY 1º GALE,No,,,
2026-01-22 22:23:06,lc trader,23942,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation SARCNY_otc—13:25: CALL 🟢  ⏰ ENDS AT: 13:30  1º GALE - ENDS AT 13:35 2º GALE - ENDS AT 13:40  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,SARCNY_otc,call,13:25
2026-01-22 22:38:03,lc trader,23943,,No,,,
2026-01-22 22:38:06,lc trader,23944,✅DIRECT VICTORY,No,,,
