timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-21 13:00:14,lc trader,23848,**We began our analyses folks 📊**  **TIME ZONE 👉 UTC -3 🌍**  Keep your broker open to not miss any opportunity👇  [**📊CLICK HERE TO CREATE YOUR ACCOUNT**](https://bit.ly/registerpockett),No,,,
2026-01-21 13:03:07,lc trader,23849,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation AUDCHF_otc—13:05: CALL 🟢  ⏰ ENDS AT: 13:10  1º GALE - ENDS AT 13:15 2º GALE - ENDS AT 13:20  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,AUDCHF_otc,call,13:05
2026-01-21 13:19:03,lc trader,23850,,No,,,
2026-01-21 13:19:06,lc trader,23851,✅DIRECT VICTORY,No,,,
2026-01-21 13:21:08,lc trader,23852,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation NZDJPY_otc—13:25: PUT 🔴  ⏰ ENDS AT: 13:30  1º GALE - ENDS AT 13:35 2º GALE - ENDS AT 13:40  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,NZDJPY_otc,put,13:25
2026-01-21 13:48:04,lc trader,23854,✅VICTORY 2º GALE,No,,,
2026-01-21 13:50:06,lc trader,23855,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDCHF_otc—13:55: CALL 🟢  ⏰ ENDS AT: 14:00  1º GALE - ENDS AT 14:05 2º GALE - ENDS AT 14:10  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDCHF_otc,call,13:55
2026-01-21 14:12:05,lc trader,23857,✅VICTORY 1º GALE,No,,,
2026-01-21 14:14:06,lc trader,23858,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDINR_otc—14:15: PUT 🔴  ⏰ ENDS AT: 14:20  1º GALE - ENDS AT 14:25 2º GALE - ENDS AT 14:30  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDINR_otc,put,14:15
2026-01-21 14:40:07,lc trader,23859,❌LOSS,No,,,
2026-01-21 14:42:05,lc trader,23860,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDEGP_otc—14:45: CALL 🟢  ⏰ ENDS AT: 14:50  1º GALE - ENDS AT 14:55 2º GALE - ENDS AT 15:00  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDEGP_otc,call,14:45
2026-01-21 14:54:05,lc trader,23862,✅DIRECT VICTORY,No,,,
2026-01-21 14:56:05,lc trader,23863,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDMXN_otc—15:00: CALL 🟢  ⏰ ENDS AT: 15:05  1º GALE - ENDS AT 15:10 2º GALE - ENDS AT 15:15  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDMXN_otc,call,15:00
2026-01-21 15:17:05,lc trader,23864,❌LOSS,No,,,
2026-01-21 15:19:07,lc trader,23865,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDPKR_otc—15:20: CALL 🟢  ⏰ ENDS AT: 15:25  1º GALE - ENDS AT 15:30 2º GALE - ENDS AT 15:35  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,USDPKR_otc,call,15:20
2026-01-21 15:31:02,lc trader,23866,,No,,,
2026-01-21 15:31:05,lc trader,23867,✅DIRECT VICTORY,No,,,
2026-01-21 15:33:07,lc trader,23868,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation AEDCNY_otc—15:35: CALL 🟢  ⏰ ENDS AT: 15:40  1º GALE - ENDS AT 15:45 2º GALE - ENDS AT 15:50  [**📲 Click here to open the broker**](https://bit.ly/registersafee),Yes,AEDCNY_otc,call,15:35
2026-01-21 15:56:04,lc trader,23870,✅VICTORY 1º GALE,No,,,
